event_id,title,category,venue_name,neighborhood
1ef66e0b-4da0-c445-72c0-6211f390faae,"Movies Under the Stars: Greenland 2: Migration","Movies Under the Stars","Midland Field",""
27029a54-9b9f-5119-3c05-ea70fb25cf1a,"Movies Under the Stars: A Minecraft Movie","Movies Under the Stars","Parkside Playground",""
fd242173-cd37-577c-dc25-15bbd5ce0e32,"Movies Under the Stars: Hoppers (2026)","Movies Under the Stars","Judge Moses Weinstein Playground",""
e58b9522-ac35-ce62-bf8a-e9d9e3268b40,"Movies Under the Stars: Ferris Bueller&#8217;s Day Off","Movies Under the Stars","Spuyten Duyvil Playground",""
6483e074-b3f5-4f37-7844-6ed1ca8330d6,"Brooklyn Bridge Park Movies With A View presented by Persol","Free Summer Movies","Brooklyn Bridge Park",""
865b15bf-64fd-f5e7-2bfd-5476b2dabc49,"Movie Night: Zootopia 2","Waterfront","Randall's Island Park",""
90d48d80-14ea-f66a-efed-6edf36762240,"Movies Under the Stars: The Land of Sometimes (2026)","Movies Under the Stars","De Matti Park",""
46240cc1-8f8c-3aff-157c-2553cbb7b95b,"The Sandlot (Rooftop Cinema)","Film & cinema","Rooftop Cinema Club Midtown","Midtown"
6d7996c5-e228-7b72-461e-7e7c39bf7160,"Movies Under the Stars: Superman (2025)","Movies Under the Stars","Homecrest Playground",""
0537314a-7538-c5ac-dbc4-ef51b2a94869,"Movies Under the Stars: Superman (2025)","Movies Under the Stars","Bowne Playground",""
35e42701-0e60-7c96-f2ae-df55a809efdd,"Bryant Park Movie Nights","Free Summer Movies","Bryant Park",""
f7ed64ee-ab19-263c-c595-dbdc10174968,"Movies Under the Stars: School of Rock (2003)","Movies Under the Stars","",""
3224ea40-526a-cd10-83de-7bc7c48642eb,"Summerstarz 2026 Free Movies","Free Summer Movies","WNYC Transmitter Park",""
abfe5a50-98a4-445c-8afa-5e20bded568c,"Movies Under the Stars: Space Jam","Movies Under the Stars","Eugene McCabe Field",""
4d6add26-da1e-323d-ef23-a5f303c9600d,"Movies Under the Stars: The Spongebob Movie: Search for Squarepants (2025)","Movies Under the Stars","Irving Square Park",""
f5bb56f8-4363-9bf6-ae2d-82b1ddb01930,"Summer on the Hudson: Pier I Picture Show- The Maltese Falcon (1941)","Free Summer Movies","Riverside Park South",""
e0392fa4-81f0-8696-1192-ba3c8d950559,"Movies Under the Stars: Wicked: For Good","Movies Under the Stars","Williamsbridge Oval",""
a91a53ee-7997-9bdc-bfdf-2afd17d71c92,"Movies Under the Stars: Kicking & Screaming","Recreation Center Programming","Blood Root Valley",""
8fee813c-e691-b1c7-0fbc-066d0e733ebb,"Movies Under the Stars: When Harry Met Sally","Recreation Center Programming","Asser Levy Playground",""
ed370fba-9525-2c15-141d-8aa30fd100c8,"Movies Under the Stars: Gabby's Dollhouse: The Movie","Movies Under the Stars","Gerard P. Dugan Playground",""
f2cc6e39-8cc9-41d2-28e5-be712f0559eb,"Movies Under the Stars: Wicked: For Good","Recreation Center Programming","Sorrentino Recreation Center",""
2b23d490-edd1-4a4f-2e00-ce70dc60689a,"Movies Under the Stars: The Bad Guys 2 (2025)","Movies Under the Stars","Evergreen Park",""
0eba4583-43a2-cfb2-4a58-6db7160b5038,"Wild Inside (World Premiere)","Film & cinema","Central Park — Great Hill","Upper West Side"
a91c0b37-35eb-4591-fe64-23c39b471965,"The Notebook (Rooftop Cinema)","Film & cinema","Rooftop Cinema Club Midtown","Midtown"
e86c0d50-aae8-a5f9-d729-bfc0eeb3acb6,"Cinema Under the Stars: The Price of the Ticket (1989) by Karen Thorsen","Free Summer Theater","St. Nicholas Park",""
acc56d70-3f69-4388-7377-d3e11ab3658f,"Free Movie On The Waterfront: Ferris Bueller's Day Off","Accessible Activities","Astoria Park",""
e89b1943-4fd8-2625-353f-3f6bbc614a0e,"Movies Under the Stars: Big Hero 6 (2014)","Movies Under the Stars","McKinley Park",""
cc0c5e23-50cf-f7c2-d430-babca714b2dc,"Movies Under the Stars: Storks","Movies Under the Stars","Washington Market Park",""
b8563cbb-83f3-14ef-daf7-16743d25f211,"Movies Under the Stars: Spy Kids","Family & kids","Alexander Hamilton Playground",""
9d339de4-da88-0a8c-daa3-b81c68fd93dc,"Movies Under the Stars: Spy Kids (2001)","Family & kids","Behagen Playground",""
499984ba-56ac-5503-06a9-8c720ab3a0b5,"Paramount+ Movie Nights","Film & cinema","Bryant Park","Midtown"
142d640b-38fe-e9f6-9739-a72f29f0d4c5,"Inception (Rooftop Cinema)","Film & cinema","Rooftop Cinema Club Midtown","Midtown"
c393f98c-a6fa-9393-b2a8-7d8a04ce1737,"10 Things I Hate About You (Rooftop Cinema)","Film & cinema","Rooftop Cinema Club Midtown","Midtown"
cb12a15b-f521-8ae6-72bd-0bc8284f8556,"Almost Famous (Rooftop Cinema)","Film & cinema","Rooftop Cinema Club Midtown","Midtown"
22e6532a-691f-c082-4cc4-3592783aee62,"Mamma Mia! (Rooftop Cinema)","Film & cinema","Rooftop Cinema Club Midtown","Midtown"
c684d95d-b726-2b01-8a46-f9a0e20f2035,"Obsession (Rooftop Cinema)","Film & cinema","Rooftop Cinema Club Midtown","Midtown"
9f2a405d-92c6-3d90-151a-e71186647f95,"Movies With A View: Clueless","Arts & Culture","Harbor View Lawn, Brooklyn Bridge Park","Brooklyn Bridge Park"
728ae5d1-3b04-57a6-c146-9b3970a63262,"Cocktails on the Farm","Gardening","Randall's Island Park",""
66366f45-7040-1f76-6935-82f18ce0f893,"New York Non-Fiction 2026","Film & cinema","Green-Wood Cemetery","Greenwood"
